name,name2,state,vote,party,state2,vote2,party2,cross_party,storm,sharevote
Christopher Coons,Richard Blumenthal,DE,1,Democrat,CT,1,Democrat,1,1,1
Christopher Coons,Robert “Bob” Casey,DE,1,Democrat,PA,1,Democrat,1,1,1
Christopher Coons,Robert “Bob” Menendez,DE,1,Democrat,NJ,1,Democrat,1,1,1
Christopher Coons,Sheldon Whitehouse,DE,1,Democrat,RI,1,Democrat,1,1,1
Christopher Coons,Thomas Carper,DE,1,Democrat,DE,1,Democrat,1,1,1
Christopher Murphy,Barbara Mikulski,CT,1,Democrat,MD,1,Democrat,1,1,1
Christopher Murphy,Benjamin Cardin,CT,1,Democrat,MD,1,Democrat,1,1,1
Christopher Murphy,Charles “Chuck” Schumer,CT,1,Democrat,NY,1,Democrat,1,1,1
Christopher Murphy,Christopher Coons,CT,1,Democrat,DE,1,Democrat,1,1,1
Christopher Murphy,Elizabeth Warren,CT,1,Democrat,MA,1,Democrat,1,1,1
Christopher Murphy,Frank Lautenberg,CT,1,Democrat,NJ,1,Democrat,1,1,1
Christopher Murphy,Jeanne Shaheen,CT,1,Democrat,NH,1,Democrat,1,1,1
Christopher Murphy,Joe Manchin,CT,1,Democrat,WV,1,Democrat,1,1,1
Christopher Murphy,John “Jay” Rockefeller,CT,1,Democrat,WV,1,Democrat,1,1,1
Christopher Murphy,John F. “Jack” Reed,CT,1,Democrat,RI,1,Democrat,1,1,1
Christopher Murphy,John Kerry,CT,1,Democrat,MA,1,Democrat,1,1,1
Christopher Murphy,Kirsten Gillibrand,CT,1,Democrat,NY,1,Democrat,1,1,1
Christopher Murphy,Maria Cantwell,CT,1,Democrat,WA,1,Democrat,1,1,1
Christopher Murphy,Richard Blumenthal,CT,1,Democrat,CT,1,Democrat,1,1,1
Christopher Murphy,Robert “Bob” Casey,CT,1,Democrat,PA,1,Democrat,1,1,1
Christopher Murphy,Robert “Bob” Menendez,CT,1,Democrat,NJ,1,Democrat,1,1,1
Christopher Murphy,Sheldon Whitehouse,CT,1,Democrat,RI,1,Democrat,1,1,1
Christopher Murphy,Thomas Carper,CT,1,Democrat,DE,1,Democrat,1,1,1
Elizabeth Warren,Barbara Mikulski,MA,1,Democrat,MD,1,Democrat,1,1,1
Elizabeth Warren,Benjamin Cardin,MA,1,Democrat,MD,1,Democrat,1,1,1
Elizabeth Warren,Charles “Chuck” Schumer,MA,1,Democrat,NY,1,Democrat,1,1,1
Elizabeth Warren,Christopher Coons,MA,1,Democrat,DE,1,Democrat,1,1,1
Elizabeth Warren,Christopher Murphy,MA,1,Democrat,CT,1,Democrat,1,1,1
Elizabeth Warren,Frank Lautenberg,MA,1,Democrat,NJ,1,Democrat,1,1,1
Elizabeth Warren,Jeanne Shaheen,MA,1,Democrat,NH,1,Democrat,1,1,1
Elizabeth Warren,Joe Manchin,MA,1,Democrat,WV,1,Democrat,1,1,1
Elizabeth Warren,John “Jay” Rockefeller,MA,1,Democrat,WV,1,Democrat,1,1,1
Elizabeth Warren,John F. “Jack” Reed,MA,1,Democrat,RI,1,Democrat,1,1,1
Elizabeth Warren,John Kerry,MA,1,Democrat,MA,1,Democrat,1,1,1
Elizabeth Warren,Kirsten Gillibrand,MA,1,Democrat,NY,1,Democrat,1,1,1
Elizabeth Warren,Maria Cantwell,MA,1,Democrat,WA,1,Democrat,1,1,1
Elizabeth Warren,Richard Blumenthal,MA,1,Democrat,CT,1,Democrat,1,1,1
Elizabeth Warren,Robert “Bob” Casey,MA,1,Democrat,PA,1,Democrat,1,1,1
Elizabeth Warren,Robert “Bob” Menendez,MA,1,Democrat,NJ,1,Democrat,1,1,1
Elizabeth Warren,Sheldon Whitehouse,MA,1,Democrat,RI,1,Democrat,1,1,1
Elizabeth Warren,Thomas Carper,MA,1,Democrat,DE,1,Democrat,1,1,1
Frank Lautenberg,Barbara Mikulski,NJ,1,Democrat,MD,1,Democrat,1,1,1
Frank Lautenberg,Benjamin Cardin,NJ,1,Democrat,MD,1,Democrat,1,1,1
Frank Lautenberg,Charles “Chuck” Schumer,NJ,1,Democrat,NY,1,Democrat,1,1,1
Frank Lautenberg,Christopher Coons,NJ,1,Democrat,DE,1,Democrat,1,1,1
Frank Lautenberg,Christopher Murphy,NJ,1,Democrat,CT,1,Democrat,1,1,1
Frank Lautenberg,Elizabeth Warren,NJ,1,Democrat,MA,1,Democrat,1,1,1
Frank Lautenberg,Jeanne Shaheen,NJ,1,Democrat,NH,1,Democrat,1,1,1
Frank Lautenberg,Joe Manchin,NJ,1,Democrat,WV,1,Democrat,1,1,1
Frank Lautenberg,John “Jay” Rockefeller,NJ,1,Democrat,WV,1,Democrat,1,1,1
Frank Lautenberg,John F. “Jack” Reed,NJ,1,Democrat,RI,1,Democrat,1,1,1
Frank Lautenberg,John Kerry,NJ,1,Democrat,MA,1,Democrat,1,1,1
Frank Lautenberg,Kirsten Gillibrand,NJ,1,Democrat,NY,1,Democrat,1,1,1
