name,name2,party,vote,state,state2,party2,vote2,cross_party,storm,sharevote
Amy Klobuchar,Rand Paul,Democrat,1,MN,KY,Republican,1,0,0,1
Amy Klobuchar,Richard Blumenthal,Democrat,1,MN,CT,Democrat,1,1,0,1
Amy Klobuchar,Richard Burr,Democrat,1,MN,NC,Republican,1,0,0,1
Amy Klobuchar,Richard Durbin,Democrat,1,MN,IL,Democrat,1,1,0,1
Amy Klobuchar,Richard Shelby,Democrat,1,MN,AL,Republican,1,0,0,1
Amy Klobuchar,Robert “Bob” Casey,Democrat,1,MN,PA,Democrat,1,1,0,1
Amy Klobuchar,Robert “Bob” Menendez,Democrat,1,MN,NJ,Democrat,1,1,0,1
Amy Klobuchar,Robert “Rob” Portman,Democrat,1,MN,OH,Republican,1,0,0,1
Amy Klobuchar,Roger Wicker,Democrat,1,MN,MS,Republican,1,0,0,1
Amy Klobuchar,Ron Johnson,Democrat,1,MN,WI,Republican,1,0,0,1
Amy Klobuchar,Ron Wyden,Democrat,1,MN,OR,Democrat,1,1,0,1
Amy Klobuchar,Roy Blunt,Democrat,1,MN,MO,Republican,1,0,0,1
Amy Klobuchar,Sheldon Whitehouse,Democrat,1,MN,RI,Democrat,1,1,0,1
Amy Klobuchar,Shelley Moore Capito,Democrat,1,MN,WV,Republican,1,0,0,1
Amy Klobuchar,Sherrod Brown,Democrat,1,MN,OH,Democrat,1,1,0,1
Amy Klobuchar,Steve Daines,Democrat,1,MN,MT,Republican,1,0,0,1
Amy Klobuchar,Susan Collins,Democrat,1,MN,ME,Republican,1,0,0,1
Amy Klobuchar,Tammy Baldwin,Democrat,1,MN,WI,Democrat,1,1,0,1
Amy Klobuchar,Tammy Duckworth,Democrat,1,MN,IL,Democrat,1,1,0,1
Amy Klobuchar,Ted Cruz,Democrat,1,MN,TX,Republican,1,0,0,1
Amy Klobuchar,Thom Tillis,Democrat,1,MN,NC,Republican,1,0,0,1
Amy Klobuchar,Thomas Carper,Democrat,1,MN,DE,Democrat,1,1,0,1
Amy Klobuchar,Tim Scott,Democrat,1,MN,SC,Republican,1,0,0,1
Amy Klobuchar,Timothy “Tim” Kaine,Democrat,1,MN,VA,Democrat,1,1,0,1
Amy Klobuchar,Tina Smith,Democrat,1,MN,MN,Democrat,1,1,0,1
Amy Klobuchar,Todd Young,Democrat,1,MN,IN,Republican,1,0,0,1
Amy Klobuchar,Tom Cotton,Democrat,1,MN,AR,Republican,1,0,0,1
Amy Klobuchar,Tom Udall,Democrat,1,MN,NM,Democrat,1,1,0,1
Angus King,Amy Klobuchar,Democrat,1,ME,MN,Democrat,1,1,0,1
Angus King,Benjamin “Ben” Sasse,Democrat,1,ME,NE,Republican,1,0,0,1
Angus King,Benjamin Cardin,Democrat,1,ME,MD,Democrat,1,1,0,1
Angus King,Bernard “Bernie” Sanders,Democrat,1,ME,VT,Democrat,1,1,0,1
Angus King,Bill Cassidy,Democrat,1,ME,LA,Republican,1,0,0,1
Angus King,Bill Nelson,Democrat,1,ME,FL,Democrat,1,1,0,1
Angus King,Bob Corker,Democrat,1,ME,TN,Republican,1,0,0,1
Angus King,Brian Schatz,Democrat,1,ME,HI,Democrat,1,1,0,1
Angus King,Catherine Cortez Masto,Democrat,1,ME,NV,Democrat,1,1,0,1
Angus King,Charles “Chuck” Grassley,Democrat,1,ME,IA,Republican,1,0,0,1
Angus King,Charles “Chuck” Schumer,Democrat,1,ME,NY,Democrat,1,1,0,1
Angus King,Chris Van Hollen,Democrat,1,ME,MD,Democrat,1,1,0,1
Angus King,Christopher Coons,Democrat,1,ME,DE,Democrat,1,1,0,1
Angus King,Christopher Murphy,Democrat,1,ME,CT,Democrat,1,1,0,1
