name,name2,state,vote,party,state2,vote2,party2,cross_party,storm,sharevote
Alan “Al” Franken,Sherrod Brown,MN,1,Democrat,OH,1,Democrat,1,0,1
Alan “Al” Franken,Susan Collins,MN,1,Democrat,ME,1,Republican,0,0,1
Alan “Al” Franken,Tammy Baldwin,MN,1,Democrat,WI,1,Democrat,1,0,1
Alan “Al” Franken,Thad Cochran,MN,1,Democrat,MS,1,Republican,0,0,1
Alan “Al” Franken,Thomas “Tom” Harkin,MN,1,Democrat,IA,1,Democrat,1,0,1
Alan “Al” Franken,Thomas Carper,MN,1,Democrat,DE,1,Democrat,1,0,1
Alan “Al” Franken,Tim Johnson,MN,1,Democrat,SD,1,Democrat,1,0,1
Alan “Al” Franken,Timothy “Tim” Kaine,MN,1,Democrat,VA,1,Democrat,1,0,1
Alan “Al” Franken,Tom Udall,MN,1,Democrat,NM,1,Democrat,1,0,1
Amy Klobuchar,Alan “Al” Franken,MN,1,Democrat,MN,1,Democrat,1,0,1
Amy Klobuchar,Angus King,MN,1,Democrat,ME,1,Independent,0,0,1
Amy Klobuchar,Barbara Boxer,MN,1,Democrat,CA,1,Democrat,1,0,1
Amy Klobuchar,Barbara Mikulski,MN,1,Democrat,MD,1,Democrat,1,0,1
Amy Klobuchar,Benjamin Cardin,MN,1,Democrat,MD,1,Democrat,1,0,1
Amy Klobuchar,Bernard “Bernie” Sanders,MN,1,Democrat,VT,1,Independent,0,0,1
Amy Klobuchar,Bill Nelson,MN,1,Democrat,FL,1,Democrat,1,0,1
Amy Klobuchar,Bob Corker,MN,1,Democrat,TN,1,Republican,0,0,1
Amy Klobuchar,Carl Levin,MN,1,Democrat,MI,1,Democrat,1,0,1
Amy Klobuchar,Charles “Chuck” Grassley,MN,1,Democrat,IA,1,Republican,0,0,1
Amy Klobuchar,Charles “Chuck” Schumer,MN,1,Democrat,NY,1,Democrat,1,0,1
Amy Klobuchar,Christopher Coons,MN,1,Democrat,DE,1,Democrat,1,0,1
Amy Klobuchar,Christopher Murphy,MN,1,Democrat,CT,1,Democrat,1,0,1
Amy Klobuchar,Claire McCaskill,MN,1,Democrat,MO,1,Democrat,1,0,1
Amy Klobuchar,Cory Booker,MN,1,Democrat,NJ,1,Democrat,1,0,1
Amy Klobuchar,Daniel Coats,MN,1,Democrat,IN,1,Republican,0,0,1
Amy Klobuchar,David Vitter,MN,1,Democrat,LA,1,Republican,0,0,1
Amy Klobuchar,Dean Heller,MN,1,Democrat,NV,1,Republican,0,0,1
Amy Klobuchar,Deb Fischer,MN,1,Democrat,NE,1,Republican,0,0,1
Amy Klobuchar,Debbie Stabenow,MN,1,Democrat,MI,1,Democrat,1,0,1
Amy Klobuchar,Dianne Feinstein,MN,1,Democrat,CA,1,Democrat,1,0,1
Amy Klobuchar,Edward “Ed” Markey,MN,1,Democrat,MA,1,Democrat,1,0,1
Amy Klobuchar,Elizabeth Warren,MN,1,Democrat,MA,1,Democrat,1,0,1
Amy Klobuchar,Harry Reid,MN,1,Democrat,NV,1,Democrat,1,0,1
Amy Klobuchar,Heidi Heitkamp,MN,1,Democrat,ND,1,Democrat,1,0,1
Amy Klobuchar,James “Jim” Inhofe,MN,1,Democrat,OK,1,Republican,0,0,1
Amy Klobuchar,Jeanne Shaheen,MN,1,Democrat,NH,1,Democrat,1,0,1
Amy Klobuchar,Jeff Merkley,MN,1,Democrat,OR,1,Democrat,1,0,1
Amy Klobuchar,Jerry Moran,MN,1,Democrat,KS,1,Republican,0,0,1
Amy Klobuchar,Joe Donnelly,MN,1,Democrat,IN,1,Democrat,1,0,1
Amy Klobuchar,Joe Manchin,MN,1,Democrat,WV,1,Democrat,1,0,1
Amy Klobuchar,John “Jay” Rockefeller,MN,1,Democrat,WV,1,Democrat,1,0,1
Amy Klobuchar,John “Johnny” Isakson,MN,1,Democrat,GA,1,Republican,0,0,1
Amy Klobuchar,John Barrasso,MN,1,Democrat,WY,1,Republican,0,0,1
Amy Klobuchar,John Boozman,MN,1,Democrat,AR,1,Republican,0,0,1
Amy Klobuchar,John F. “Jack” Reed,MN,1,Democrat,RI,1,Democrat,1,0,1
Amy Klobuchar,John Hoeven,MN,1,Democrat,ND,1,Republican,0,0,1
Amy Klobuchar,John Thune,MN,1,Democrat,SD,1,Republican,0,0,1
Amy Klobuchar,John Walsh,MN,1,Democrat,MT,1,Democrat,1,0,1
Amy Klobuchar,Jon Tester,MN,1,Democrat,MT,1,Democrat,1,0,1
Amy Klobuchar,Kay Hagan,MN,1,Democrat,NC,1,Democrat,1,0,1
Amy Klobuchar,Kelly Ayotte,MN,1,Democrat,NH,1,Republican,0,0,1
Amy Klobuchar,Kirsten Gillibrand,MN,1,Democrat,NY,1,Democrat,1,0,1
Amy Klobuchar,Lindsey Graham,MN,1,Democrat,SC,1,Republican,0,0,1
Amy Klobuchar,Lisa Murkowski,MN,1,Democrat,AK,1,Republican,0,0,1
Amy Klobuchar,Maria Cantwell,MN,1,Democrat,WA,1,Democrat,1,0,1
Amy Klobuchar,Mark Begich,MN,1,Democrat,AK,1,Democrat,1,0,1
Amy Klobuchar,Mark Kirk,MN,1,Democrat,IL,1,Republican,0,0,1
Amy Klobuchar,Mark Pryor,MN,1,Democrat,AR,1,Democrat,1,0,1
Amy Klobuchar,Mark Udall,MN,1,Democrat,CO,1,Democrat,1,0,1
Amy Klobuchar,Mark Warner,MN,1,Democrat,VA,1,Democrat,1,0,1
Amy Klobuchar,Martin Heinrich,MN,1,Democrat,NM,1,Democrat,1,0,1
Amy Klobuchar,Mary Landrieu,MN,1,Democrat,LA,1,Democrat,1,0,1
Amy Klobuchar,Mazie Hirono,MN,1,Democrat,HI,1,Democrat,1,0,1
Amy Klobuchar,Michael Bennet,MN,1,Democrat,CO,1,Democrat,1,0,1
Amy Klobuchar,Michael Enzi,MN,1,Democrat,WY,1,Republican,0,0,1
Amy Klobuchar,Mike Johanns,MN,1,Democrat,NE,1,Republican,0,0,1
Amy Klobuchar,Mitch McConnell,MN,1,Democrat,KY,1,Republican,0,0,1
Amy Klobuchar,Patrick Leahy,MN,1,Democrat,VT,1,Democrat,1,0,1
Amy Klobuchar,Patty Murray,MN,1,Democrat,WA,1,Democrat,1,0,1
Amy Klobuchar,Richard Blumenthal,MN,1,Democrat,CT,1,Democrat,1,0,1
Amy Klobuchar,Richard Durbin,MN,1,Democrat,IL,1,Democrat,1,0,1
Amy Klobuchar,Robert “Bob” Casey,MN,1,Democrat,PA,1,Democrat,1,0,1
Amy Klobuchar,Robert “Bob” Menendez,MN,1,Democrat,NJ,1,Democrat,1,0,1
Amy Klobuchar,Roger Wicker,MN,1,Democrat,MS,1,Republican,0,0,1
Amy Klobuchar,Ron Wyden,MN,1,Democrat,OR,1,Democrat,1,0,1
Amy Klobuchar,Roy Blunt,MN,1,Democrat,MO,1,Republican,0,0,1
Amy Klobuchar,Saxby Chambliss,MN,1,Democrat,GA,1,Republican,0,0,1
Amy Klobuchar,Sheldon Whitehouse,MN,1,Democrat,RI,1,Democrat,1,0,1
Amy Klobuchar,Sherrod Brown,MN,1,Democrat,OH,1,Democrat,1,0,1
Amy Klobuchar,Susan Collins,MN,1,Democrat,ME,1,Republican,0,0,1
Amy Klobuchar,Tammy Baldwin,MN,1,Democrat,WI,1,Democrat,1,0,1
Amy Klobuchar,Thad Cochran,MN,1,Democrat,MS,1,Republican,0,0,1
Amy Klobuchar,Thomas “Tom” Harkin,MN,1,Democrat,IA,1,Democrat,1,0,1
Amy Klobuchar,Thomas Carper,MN,1,Democrat,DE,1,Democrat,1,0,1
Amy Klobuchar,Tim Johnson,MN,1,Democrat,SD,1,Democrat,1,0,1
Amy Klobuchar,Timothy “Tim” Kaine,MN,1,Democrat,VA,1,Democrat,1,0,1
Amy Klobuchar,Tom Udall,MN,1,Democrat,NM,1,Democrat,1,0,1
Angus King,Alan “Al” Franken,ME,1,Independent,MN,1,Democrat,0,0,1
Angus King,Amy Klobuchar,ME,1,Independent,MN,1,Democrat,0,0,1
Angus King,Barbara Boxer,ME,1,Independent,CA,1,Democrat,0,0,1
Angus King,Barbara Mikulski,ME,1,Independent,MD,1,Democrat,0,0,1
Angus King,Benjamin Cardin,ME,1,Independent,MD,1,Democrat,0,0,1
Angus King,Bernard “Bernie” Sanders,ME,1,Independent,VT,1,Independent,1,0,1
Angus King,Bill Nelson,ME,1,Independent,FL,1,Democrat,0,0,1
Angus King,Bob Corker,ME,1,Independent,TN,1,Republican,0,0,1
Angus King,Carl Levin,ME,1,Independent,MI,1,Democrat,0,0,1
Angus King,Charles “Chuck” Grassley,ME,1,Independent,IA,1,Republican,0,0,1
Angus King,Charles “Chuck” Schumer,ME,1,Independent,NY,1,Democrat,0,0,1
Angus King,Christopher Coons,ME,1,Independent,DE,1,Democrat,0,0,1
Angus King,Christopher Murphy,ME,1,Independent,CT,1,Democrat,0,0,1
Angus King,Claire McCaskill,ME,1,Independent,MO,1,Democrat,0,0,1
Angus King,Cory Booker,ME,1,Independent,NJ,1,Democrat,0,0,1
Angus King,Daniel Coats,ME,1,Independent,IN,1,Republican,0,0,1
Angus King,David Vitter,ME,1,Independent,LA,1,Republican,0,0,1
Angus King,Dean Heller,ME,1,Independent,NV,1,Republican,0,0,1
Angus King,Deb Fischer,ME,1,Independent,NE,1,Republican,0,0,1
Angus King,Debbie Stabenow,ME,1,Independent,MI,1,Democrat,0,0,1
Angus King,Dianne Feinstein,ME,1,Independent,CA,1,Democrat,0,0,1
Angus King,Edward “Ed” Markey,ME,1,Independent,MA,1,Democrat,0,0,1
Angus King,Elizabeth Warren,ME,1,Independent,MA,1,Democrat,0,0,1
Angus King,Harry Reid,ME,1,Independent,NV,1,Democrat,0,0,1
Angus King,Heidi Heitkamp,ME,1,Independent,ND,1,Democrat,0,0,1
Angus King,James “Jim” Inhofe,ME,1,Independent,OK,1,Republican,0,0,1
Angus King,Jeanne Shaheen,ME,1,Independent,NH,1,Democrat,0,0,1
Angus King,Jeff Merkley,ME,1,Independent,OR,1,Democrat,0,0,1
Angus King,Jerry Moran,ME,1,Independent,KS,1,Republican,0,0,1
Angus King,Joe Donnelly,ME,1,Independent,IN,1,Democrat,0,0,1
Angus King,Joe Manchin,ME,1,Independent,WV,1,Democrat,0,0,1
Angus King,John “Jay” Rockefeller,ME,1,Independent,WV,1,Democrat,0,0,1
Angus King,John “Johnny” Isakson,ME,1,Independent,GA,1,Republican,0,0,1
Angus King,John Barrasso,ME,1,Independent,WY,1,Republican,0,0,1
Angus King,John Boozman,ME,1,Independent,AR,1,Republican,0,0,1
Angus King,John F. “Jack” Reed,ME,1,Independent,RI,1,Democrat,0,0,1
Angus King,John Hoeven,ME,1,Independent,ND,1,Republican,0,0,1
Angus King,John Thune,ME,1,Independent,SD,1,Republican,0,0,1
Angus King,John Walsh,ME,1,Independent,MT,1,Democrat,0,0,1
Angus King,Jon Tester,ME,1,Independent,MT,1,Democrat,0,0,1
Angus King,Kay Hagan,ME,1,Independent,NC,1,Democrat,0,0,1
Angus King,Kelly Ayotte,ME,1,Independent,NH,1,Republican,0,0,1
Angus King,Kirsten Gillibrand,ME,1,Independent,NY,1,Democrat,0,0,1
Angus King,Lindsey Graham,ME,1,Independent,SC,1,Republican,0,0,1
Angus King,Lisa Murkowski,ME,1,Independent,AK,1,Republican,0,0,1
Angus King,Maria Cantwell,ME,1,Independent,WA,1,Democrat,0,0,1
Angus King,Mark Begich,ME,1,Independent,AK,1,Democrat,0,0,1
Angus King,Mark Kirk,ME,1,Independent,IL,1,Republican,0,0,1
Angus King,Mark Pryor,ME,1,Independent,AR,1,Democrat,0,0,1
Angus King,Mark Udall,ME,1,Independent,CO,1,Democrat,0,0,1
Angus King,Mark Warner,ME,1,Independent,VA,1,Democrat,0,0,1
Angus King,Martin Heinrich,ME,1,Independent,NM,1,Democrat,0,0,1
Angus King,Mary Landrieu,ME,1,Independent,LA,1,Democrat,0,0,1
Angus King,Mazie Hirono,ME,1,Independent,HI,1,Democrat,0,0,1
Angus King,Michael Bennet,ME,1,Independent,CO,1,Democrat,0,0,1
Angus King,Michael Enzi,ME,1,Independent,WY,1,Republican,0,0,1
Angus King,Mike Johanns,ME,1,Independent,NE,1,Republican,0,0,1
Angus King,Mitch McConnell,ME,1,Independent,KY,1,Republican,0,0,1
Angus King,Patrick Leahy,ME,1,Independent,VT,1,Democrat,0,0,1
Angus King,Patty Murray,ME,1,Independent,WA,1,Democrat,0,0,1
Angus King,Richard Blumenthal,ME,1,Independent,CT,1,Democrat,0,0,1
Angus King,Richard Durbin,ME,1,Independent,IL,1,Democrat,0,0,1
Angus King,Robert “Bob” Casey,ME,1,Independent,PA,1,Democrat,0,0,1
Angus King,Robert “Bob” Menendez,ME,1,Independent,NJ,1,Democrat,0,0,1
Angus King,Roger Wicker,ME,1,Independent,MS,1,Republican,0,0,1
Angus King,Ron Wyden,ME,1,Independent,OR,1,Democrat,0,0,1
Angus King,Roy Blunt,ME,1,Independent,MO,1,Republican,0,0,1
Angus King,Saxby Chambliss,ME,1,Independent,GA,1,Republican,0,0,1
Angus King,Sheldon Whitehouse,ME,1,Independent,RI,1,Democrat,0,0,1
Angus King,Sherrod Brown,ME,1,Independent,OH,1,Democrat,0,0,1
Angus King,Susan Collins,ME,1,Independent,ME,1,Republican,0,0,1
Angus King,Tammy Baldwin,ME,1,Independent,WI,1,Democrat,0,0,1
Angus King,Thad Cochran,ME,1,Independent,MS,1,Republican,0,0,1
Angus King,Thomas “Tom” Harkin,ME,1,Independent,IA,1,Democrat,0,0,1
Angus King,Thomas Carper,ME,1,Independent,DE,1,Democrat,0,0,1
Angus King,Tim Johnson,ME,1,Independent,SD,1,Democrat,0,0,1
Angus King,Timothy “Tim” Kaine,ME,1,Independent,VA,1,Democrat,0,0,1
Angus King,Tom Udall,ME,1,Independent,NM,1,Democrat,0,0,1
Barbara Boxer,Alan “Al” Franken,CA,1,Democrat,MN,1,Democrat,1,0,1
Barbara Boxer,Amy Klobuchar,CA,1,Democrat,MN,1,Democrat,1,0,1
Barbara Boxer,Angus King,CA,1,Democrat,ME,1,Independent,0,0,1
Barbara Boxer,Barbara Mikulski,CA,1,Democrat,MD,1,Democrat,1,0,1
Barbara Boxer,Benjamin Cardin,CA,1,Democrat,MD,1,Democrat,1,0,1
Barbara Boxer,Bernard “Bernie” Sanders,CA,1,Democrat,VT,1,Independent,0,0,1
Barbara Boxer,Bill Nelson,CA,1,Democrat,FL,1,Democrat,1,0,1
Barbara Boxer,Bob Corker,CA,1,Democrat,TN,1,Republican,0,0,1
Barbara Boxer,Carl Levin,CA,1,Democrat,MI,1,Democrat,1,0,1
